# ============================================
# ARQUIVO DE CONFIGURAÇÃO DE USUÁRIOS
# ============================================

# Formato: USER=nome:username:senha:chave:tipo
# Tipos: ADMIN, OPERATOR, MANAGER

# Administradores do sistema
USER=João Silva:jsilva:PASSWORD:3:ADMIN
USER=Maria Santos:msantos:SECRET:5:ADMIN

# Operadores da estação
USER=Carlos Oliveira:coliveira:OPERATOR:7:OPERATOR
USER=Ana Pereira:apereira:STATION:9:OPERATOR
USER=Pedro Costa:pcosta:CONTROL:11:OPERATOR
USER=Sofia Martins:smartins:RAILWAY:13:OPERATOR

# Gerentes de tráfego
USER=Rui Fernandes:rfernandes:MANAGER:15:MANAGER
USER=Inês Rodrigues:irodrigues:TRAFFIC:17:MANAGER

# Técnicos de manutenção
USER=António Gomes:agomes:TECHNICAL:19:OPERATOR
USER=Beatriz Lopes:blopes:MAINTENANCE:21:OPERATOR

# Usuários de backup
USER=Backup System:backup1:BACKUPONE:23:ADMIN
USER=Emergency User:emergency:EMERGENCY:25:OPERATOR

# Observadores
USER=Observer 1:obs1:OBSERVER:2:OPERATOR
USER=Observer 2:obs2:MONITOR:4:OPERATOR

# Notas:
# - Senhas devem conter apenas letras maiúsculas
# - Chaves devem estar entre 1 e 26
# - Usernames devem ser únicos
